keywords,title,category,link,date
"[""perception"",""reality"",""Bitter"",""Mind"",""social"",""media"",""democracy"",""controversies"",""inequality"",""decades""]",Letter From Africa: Raw Tensions Over Race Fester in South Africa,world,http://rss.nytimes.com/c/34625/f/640305/s/4df4beec/sc/13/l/0L0Snytimes0N0C20A160C0A30C0A20Cworld0Cafrica0Craw0Etensions0Eover0Erace0Efester0Ein0Esouth0Eafrica0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Tue, 01 Mar 2016 14:19:43 GMT"
"[""frailty"",""fierce"",""struggle"",""Attention"",""visible"",""Mugabe"",""increasingly"",""Robert"",""G.""]","In Zimbabwe, Mugabe’s Birthday Is Rife With Political Jockeying",world,http://rss.nytimes.com/c/34625/f/640305/s/4def1b6b/sc/13/l/0L0Snytimes0N0C20A160C0A30C0A10Cworld0Cafrica0Crobert0Emugabe0Ezimbabwe0Epresident0E92nd0Ebirthday0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Mon, 29 Feb 2016 17:51:07 GMT"
"[""Residents"",""neighborhood"",""Bo-Kaap"",""money"",""community"",""pours"",""traditions"",""risk"",""close-knit"",""fear""]",Cape Town Journal: Muslim Enclave Forged in Apartheid Now Faces Gentrification,world,http://rss.nytimes.com/c/34625/f/640305/s/4dedf58f/sc/24/l/0L0Snytimes0N0C20A160C0A30C0A10Cworld0Cafrica0Cbo0Ekaap0Ecape0Etown0Emuslim0Egentrification0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Mon, 29 Feb 2016 14:30:16 GMT"
"[""consecutive"",""people"",""suicide"",""bombings"",""city"",""methods"",""The"",""Islamist"",""Suicide"",""group"",""Baidoa"",""Shabab"",""militant""]",Twin Suicide Bombings Kill at Least 20 as Shabab Violence Intensifies in Somalia,world,http://rss.nytimes.com/c/34625/f/640305/s/4dea1e9b/sc/11/l/0L0Snytimes0N0C20A160C0A20C290Cworld0Cafrica0Ctwin0Esuicide0Ebombings0Ekill0Eat0Eleast0E20A0Eas0Eshabab0Eviolence0Eintensifies0Ein0Esomalia0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Mon, 29 Feb 2016 01:00:50 GMT"
"[""government"",""Humid"",""state"",""philosophy"",""U.S."",""subtropical"",""President"",""climate"",""United"",""Atrocities"",""Political"",""States"",""Sovereign""]",The Killing Fields of South Sudan,world,http://rss.nytimes.com/c/34625/f/640305/s/4de59667/sc/13/l/0L0Snytimes0N0Cvideo0Cembedded0Copinion0Csunday0C10A0A0A0A0A0A0A42367720Cthe0Ekilling0Efields0Eof0Esouth0Esudan0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Sat, 27 Feb 2016 19:30:41 GMT"
"[""officials"",""people"",""Security"",""public"",""attack"",""forces"",""Garden"",""militants"",""dozens"",""hotel"",""garden"",""Mogadishu""]",Shabab Militants Claim Deadly Attack on Hotel in Somalia,world,http://rss.nytimes.com/c/34625/f/640305/s/4de27526/sc/13/l/0L0Snytimes0N0C20A160C0A20C270Cworld0Cafrica0Cshabab0Egunmen0Eattack0Ehotel0Ein0Esomalia0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Fri, 26 Feb 2016 23:45:23 GMT"
"[""officials"",""people"",""Security"",""public"",""attack"",""forces"",""Garden"",""militants"",""dozens"",""hotel"",""garden"",""Mogadishu""]",Shabab Militants Claim Deadly Attack on Hotel in Somalia,world,http://rss.nytimes.com/c/34625/f/640305/s/4de1ab03/sc/13/l/0L0Snytimes0N0C20A160C0A20C270Cworld0Cafrica0Cat0Eleast0E140Edead0Eas0Eshabab0Egunmen0Eattack0Ehotel0Ein0Esomalia0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Fri, 26 Feb 2016 23:24:59 GMT"
"[""Felidae"",""Mathematical"",""sequence"",""genome"",""cheetah"",""Chewbaaka"",""cat"",""analysis"",""complete"",""scientists"",""Sequence"",""Cauchy"",""big""]","In DNA, Clues to the Cheetah’s Speed and Hurdles",world,http://rss.nytimes.com/c/34625/f/640305/s/4ddfa5a4/sc/32/l/0L0Snytimes0N0C20A160C0A30C0A10Cscience0Cin0Edna0Eclues0Eto0Ethe0Echeetahs0Espeed0Eand0Ehurdles0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Fri, 26 Feb 2016 12:15:26 GMT"
"[""women"",""research"",""1980s"",""rates"",""promising"",""work"",""infection"",""device"",""groups"",""music"",""new""]",Editorial: Helping Women in Africa Avoid H.I.V.,world,http://rss.nytimes.com/c/34625/f/640305/s/4dddcd28/sc/14/l/0L0Snytimes0N0C20A160C0A20C260Copinion0Chelping0Ewomen0Ein0Eafrica0Eavoid0Ehiv0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Fri, 26 Feb 2016 08:21:01 GMT"
"[""building"",""University"",""Wednesday"",""Mafikeng"",""protesting"",""science"",""administration"",""campus"",""night"",""students"",""center""]",World Briefing: South Africa: Student Protesters Force Their University to Close,world,http://rss.nytimes.com/c/34625/f/640305/s/4ddcb7ce/sc/33/l/0L0Snytimes0N0C20A160C0A20C260Cworld0Cafrica0Csouth0Eafrica0Estudent0Eprotesters0Eforce0Etheir0Euniversity0Eto0Eclose0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Fri, 26 Feb 2016 04:05:39 GMT"
